name;description;price;categories;quantity;images;source_url;color;material
Aerios 18 Backpack;Aerios 18 Backpack;720;Accessories/Men,Accessories/Women;0;https://images.arcteryx.com/details/1350x1710/S25-X000009581-Aerios-18-Backpack-Black-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/S25-X000009581-Aerios-18-Backpack-Black-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/aerios-18-backpack-9581;Black;
Aerios 35 Backpack;Aerios 35 Backpack;1000;Accessories/Men,Accessories/Women;8;https://images.arcteryx.com/details/1350x1710/S25-X000009588-Aerios-35-Backpack-Black-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/S25-X000009588-Aerios-35-Backpack-Black-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/aerios-35-backpack-9588;Black;
Aerios 5 Panel Cap;Aerios 5 Panel Cap;300;Accessories/Men,Accessories/Women;10;https://images.arcteryx.com/details/1350x1710/F25-X000009489-Aerios-5-Panel-Cap-Dynasty-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009489-Aerios-5-Panel-Cap-Dynasty-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/aerios-5-panel-cap-9489;;
Alpha FL 20 Backpack;Alpha FL 20 Backpack;1000;Accessories/Men,Accessories/Women;8;https://images.arcteryx.com/details/1350x1710/S25-X000008984-Alpha-FL-20-Backpack-Black-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/S25-X000008984-Alpha-FL-20-Backpack-Black-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/alpha-fl-20-backpack-8984;Black;
Alpha FL 30 Backpack;Alpha FL 30 Backpack;1120;Accessories/Men,Accessories/Women;10;https://images.arcteryx.com/details/1350x1710/S25-X000007557-Alpha-FL-30-Backpack-Soulsonic-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/S25-X000007557-Alpha-FL-30-Backpack-Soulsonic-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/alpha-fl-30-backpack-7557;Red;
Alpha SL 30 Backpack;Alpha SL 30 Backpack;1600;Accessories/Men,Accessories/Women;0;https://images.arcteryx.com/details/1350x1710/S25-X000009660-Alpha-SL-30-Backpack-White-Light-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/S25-X000009660-Alpha-SL-30-Backpack-White-Light-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/alpha-sl-30-backpack-9660;Red;
Bird Head Toque;Bird Head Toque;240;Accessories/Men,Accessories/Women;5;https://images.arcteryx.com/details/1350x1710/F25-X000006756-Bird-Head-Toque-Euphoria-Olive-Moss-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000006756-Bird-Head-Toque-Euphoria-Olive-Moss-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/bird-head-toque;Red;Polyester
Bird Word Cap;Bird Word Cap;200;Accessories/Men,Accessories/Women;8;https://images.arcteryx.com/details/1350x1710/F25-X000009463-Bird-Word-Cap-Azalea-Aster-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000009463-Bird-Word-Cap-Azalea-Aster-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/bird-word-cap-9463;;
Bird Word Toque;Bird Word Toque;240;Accessories/Men,Accessories/Women;10;https://images.arcteryx.com/details/1350x1710/F25-X000010065-Bird-Word-Toque-Solitude-Arctic-Silk-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/F25-X000010065-Bird-Word-Toque-Solitude-Arctic-Silk-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/bird-word-toque-0065;Red;Polyester
Bird Word Trucker Hat;Bird Word Trucker Hat;200;Accessories/Men,Accessories/Women;4;https://images.arcteryx.com/details/1350x1710/S25-X000009488-Bird-Word-Trucker-Hat-Tatsu-Forage-Front.jpg,https://images-dynamic-arcteryx.imgix.net/details/1350x1710/S25-X000009488-Bird-Word-Trucker-Hat-Tatsu-Forage-Front.jpg?auto=format%2Ccompress&q=70&fit=crop&fill=white&dpr=2&ixlib=react-9.10.0;https://arcteryx.com/us/en/shop/bird-word-trucker-hat-9488;;
