name;description;price;categories;quantity;image1;image2;source_url;color;material;;;;;
Aerios 18 Backpack;Aerios 18 Backpack;729;Clothing>Men;5;images\aerios-18-backpack-1.jpg;images\aerios-18-backpack-2.jpg;https://arcteryx.com/us/en/shop/aerios-18-backpack-9581;Black;;;;;;
Aerios 35 Backpack;Aerios 35 Backpack;1013;Clothing>Men;5;images\aerios-35-backpack-1.jpg;images\aerios-35-backpack-2.jpg;https://arcteryx.com/us/en/shop/aerios-35-backpack-9588;Red;;;;;;
Aerios 5 Panel Cap;Aerios 5 Panel Cap;304;Clothing>Men;5;images\aerios-5-panel-cap-1.jpg;images\aerios-5-panel-cap-2.jpg;https://arcteryx.com/us/en/shop/aerios-5-panel-cap-9489;;;;;;;
Alpha FL 20 Backpack;Alpha FL 20 Backpack;1013;Clothing>Men;5;images\alpha-fl-20-backpack-1.jpg;images\alpha-fl-20-backpack-2.jpg;https://arcteryx.com/us/en/shop/alpha-fl-20-backpack-8984;Black;;;;;;
Alpha FL 30 Backpack;Alpha FL 30 Backpack;1134;Clothing>Men;5;images\alpha-fl-30-backpack-1.jpg;images\alpha-fl-30-backpack-2.jpg;https://arcteryx.com/us/en/shop/alpha-fl-30-backpack-7557;Red;;;;;;
Alpha SL 30 Backpack;Alpha SL 30 Backpack;1620;Clothing>Men;5;images\alpha-sl-30-backpack-1.jpg;images\alpha-sl-30-backpack-2.jpg;https://arcteryx.com/us/en/shop/alpha-sl-30-backpack-9660;Red;;;;;;
Bird Head Toque;Bird Head Toque;243;Clothing>Men;5;images\bird-head-toque-1.jpg;images\bird-head-toque-2.jpg;https://arcteryx.com/us/en/shop/bird-head-toque;Red;Polyester;;;;;
Bird Word Cap;Bird Word Cap;203;Clothing>Men;5;images\bird-word-cap-1.jpg;images\bird-word-cap-2.jpg;https://arcteryx.com/us/en/shop/bird-word-cap-9463;;;;;;;
Bird Word Toque;Bird Word Toque;243;Clothing>Men;5;images\bird-word-toque-1.jpg;images\bird-word-toque-2.jpg;https://arcteryx.com/us/en/shop/bird-word-toque-0065;Red;Polyester;;;;;
Bird Word Trucker Hat;Bird Word Trucker Hat;203;Accessories>Men;5;images\bird-word-trucker-hat-1.jpg;images\bird-word-trucker-hat-2.jpg;https://arcteryx.com/us/en/shop/bird-word-trucker-hat-9488;;;;;;;
Bucket Hat;Bucket Hat;911;Accessories>Men;5;images\bucket-hat-1.jpg;images\bucket-hat-2.jpg;https://arcteryx.com/us/en/shop/bucket-hat-9477;;GORE-TEX;;;;;
Carrier 100 Duffle;Carrier 100 Duffle;1418;Clothing>Men;5;images\carrier-100-duffle-1.jpg;images\carrier-100-duffle-2.jpg;https://arcteryx.com/us/en/shop/carrier-100-duffle-9299;Black;;;;;;
Carrier 40 Duffle;Carrier 40 Duffle;1053;Clothing>Men;5;images\carrier-40-duffle-1.jpg;images\carrier-40-duffle-2.jpg;https://arcteryx.com/us/en/shop/carrier-40-duffle-7469;Black;;;;;;
Carrier 45 Gear Tote;Carrier 45 Gear Tote;729;Clothing>Men;5;images\carrier-45-gear-tote-1.jpg;images\carrier-45-gear-tote-2.jpg;https://arcteryx.com/us/en/shop/carrier-45-gear-tote-7449;White;;;;;;
Carrier 75 Duffle;Carrier 75 Duffle;1215;Clothing>Men;5;images\carrier-75-duffle-1.jpg;images\carrier-75-duffle-2.jpg;https://arcteryx.com/us/en/shop/carrier-75-duffle-7474;White;;;;;;
Chunky Ribbed Toque;Chunky Ribbed Toque;284;Clothing>Men;5;images\chunky-ribbed-toque-1.jpg;images\chunky-ribbed-toque-2.jpg;https://arcteryx.com/us/en/shop/chunky-ribbed-toque-0085;;Merino;;;;;
Colour Block Toque;Colour Block Toque;223;Clothing>Men;5;images\colour-block-toque-1.jpg;images\colour-block-toque-2.jpg;https://arcteryx.com/us/en/shop/color-block-toque-9931;Black;Polyester;;;;;
Conveyor Belt 38;Conveyor Belt 38;203;Accessories>Men;5;images\conveyor-belt-38-1.jpg;images\conveyor-belt-38-2.jpg;https://arcteryx.com/us/en/shop/conveyor-belt-38;Black;;;;;;
Embroidered Bird Toque;Embroidered Bird Toque;182;Clothing>Men;5;images\embroidered-bird-toque-1.jpg;images\embroidered-bird-toque-2.jpg;https://arcteryx.com/us/en/shop/embroidered-bird-toque;Red;Polyester;;;;;
Embroidered Bird Toque;Embroidered Bird Toque;182;Clothing>Men;5;images\embroidered-bird-toque-1.jpg;images\embroidered-bird-toque-2.jpg;https://arcteryx.com/us/en/shop/embroidered-bird-toque-0066;Red;Polyester;;;;;
Fission SV Glove;Fission SV Glove;810;Accessories>Men;5;images\fission-sv-glove-1.jpg;images\fission-sv-glove-2.jpg;https://arcteryx.com/us/en/shop/fission-sv-glove-9939;;;;;;;
Fission SV Mitten;Fission SV Mitten;810;Clothing>Men;5;images\fission-sv-mitten-1.jpg;images\fission-sv-mitten-2.jpg;https://arcteryx.com/us/en/shop/fission-sv-mitten-9940;Red;Down;;;;;
Gamma 5 Panel Cap;Gamma 5 Panel Cap;203;Clothing>Men;5;images\gamma-5-panel-cap-1.jpg;images\gamma-5-panel-cap-2.jpg;https://arcteryx.com/us/en/shop/gamma-5-panel-cap-9484;Black;;;;;;
Gothic Glove;Gothic Glove;162;Accessories>Men;5;images\gothic-glove-1.jpg;images\gothic-glove-2.jpg;https://arcteryx.com/us/en/shop/gothic-glove;Black;Merino;;;;;
